cpu_ts,rgb_ts,filename
1608115516254,1608115516154,RGB_430
1608115516287,1608115516188,RGB_431
1608115516321,1608115516222,RGB_432
1608115516354,1608115516257,RGB_433
1608115516388,1608115516291,RGB_434
1608115516421,1608115516325,RGB_435
1608115516455,1608115516359,RGB_436
1608115516488,1608115516393,RGB_437
1608115516522,1608115516428,RGB_438
1608115516556,1608115516462,RGB_439
1608115516589,1608115516496,RGB_440
1608115516623,1608115516530,RGB_441
1608115516656,1608115516564,RGB_442
1608115516689,1608115516599,RGB_443
1608115516723,1608115516633,RGB_444
1608115516756,1608115516667,RGB_445
1608115516789,1608115516701,RGB_446
1608115516823,1608115516735,RGB_447
1608115516864,1608115516770,RGB_448
1608115516899,1608115516804,RGB_449
1608115516930,1608115516838,RGB_450
1608115516964,1608115516872,RGB_451
1608115516991,1608115516911,RGB_452
1608115517024,1608115516945,RGB_453
1608115517057,1608115516979,RGB_454
1608115517091,1608115517013,RGB_455
1608115517124,1608115517048,RGB_456
1608115517158,1608115517082,RGB_457
1608115517191,1608115517116,RGB_458
1608115517225,1608115517150,RGB_459
1608115517258,1608115517185,RGB_460
1608115517291,1608115517219,RGB_461
1608115517324,1608115517253,RGB_462
1608115517358,1608115517287,RGB_463
1608115517391,1608115517322,RGB_464
1608115517425,1608115517356,RGB_465
1608115517458,1608115517390,RGB_466
1608115517493,1608115517424,RGB_467
1608115517526,1608115517459,RGB_468
1608115517593,1608115517493,RGB_469
1608115517626,1608115517527,RGB_470
1608115517660,1608115517561,RGB_471
1608115517693,1608115517596,RGB_472
1608115517727,1608115517630,RGB_473
1608115517761,1608115517664,RGB_474
1608115517801,1608115517698,RGB_475
1608115517861,1608115517733,RGB_476
1608115517882,1608115517767,RGB_477
1608115517916,1608115517801,RGB_478
1608115517949,1608115517835,RGB_479
1608115517990,1608115517870,RGB_480
1608115518016,1608115517904,RGB_481
1608115518054,1608115517938,RGB_482
1608115518083,1608115517972,RGB_483
1608115518125,1608115518006,RGB_484
1608115518158,1608115518041,RGB_485
1608115518192,1608115518075,RGB_486
1608115518225,1608115518109,RGB_487
1608115518257,1608115518143,RGB_488
1608115518290,1608115518178,RGB_489
1608115518324,1608115518212,RGB_490
1608115518357,1608115518246,RGB_491
1608115518393,1608115518280,RGB_492
1608115518426,1608115518315,RGB_493
1608115518461,1608115518349,RGB_494
1608115518494,1608115518383,RGB_495
1608115518527,1608115518417,RGB_496
1608115518561,1608115518452,RGB_497
1608115518595,1608115518486,RGB_498
1608115518625,1608115518520,RGB_499
1608115518658,1608115518554,RGB_500
1608115518692,1608115518588,RGB_501
1608115518725,1608115518623,RGB_502
1608115518760,1608115518657,RGB_503
1608115518794,1608115518691,RGB_504
1608115518828,1608115518725,RGB_505
1608115518858,1608115518760,RGB_506
1608115518900,1608115518794,RGB_507
1608115518934,1608115518828,RGB_508
1608115518960,1608115518862,RGB_509
1608115518993,1608115518896,RGB_510
1608115519026,1608115518930,RGB_511
1608115519059,1608115518964,RGB_512
1608115519093,1608115518999,RGB_513
1608115519127,1608115519033,RGB_514
1608115519160,1608115519067,RGB_515
1608115519202,1608115519101,RGB_516
1608115519235,1608115519136,RGB_517
1608115519269,1608115519170,RGB_518
1608115519308,1608115519204,RGB_519
1608115519341,1608115519238,RGB_520
1608115519375,1608115519273,RGB_521
1608115519409,1608115519307,RGB_522
1608115519435,1608115519341,RGB_523
1608115519467,1608115519375,RGB_524
1608115519501,1608115519410,RGB_525
1608115519535,1608115519444,RGB_526
1608115519582,1608115519478,RGB_527
1608115519604,1608115519512,RGB_528
1608115519639,1608115519546,RGB_529
1608115519671,1608115519581,RGB_530
1608115519705,1608115519615,RGB_531
1608115519739,1608115519649,RGB_532
1608115519772,1608115519683,RGB_533
1608115519807,1608115519718,RGB_534
1608115519839,1608115519752,RGB_535
1608115519873,1608115519786,RGB_536
1608115519907,1608115519820,RGB_537
1608115519940,1608115519855,RGB_538
1608115519971,1608115519889,RGB_539
1608115520004,1608115519923,RGB_540
1608115520038,1608115519957,RGB_541
1608115520075,1608115519991,RGB_542
1608115520106,1608115520026,RGB_543
1608115520139,1608115520060,RGB_544
1608115520172,1608115520094,RGB_545
1608115520206,1608115520128,RGB_546
1608115520239,1608115520163,RGB_547
1608115520272,1608115520197,RGB_548
1608115520306,1608115520231,RGB_549
1608115520339,1608115520265,RGB_550
1608115520377,1608115520299,RGB_551
1608115520440,1608115520334,RGB_552
1608115520484,1608115520368,RGB_553
1608115520543,1608115520402,RGB_554
1608115520576,1608115520436,RGB_555
1608115520607,1608115520470,RGB_556
1608115520641,1608115520505,RGB_557
1608115520674,1608115520539,RGB_558
1608115520707,1608115520573,RGB_559
1608115520741,1608115520607,RGB_560
1608115520774,1608115520642,RGB_561
1608115520808,1608115520676,RGB_562
1608115520841,1608115520710,RGB_563
1608115520874,1608115520744,RGB_564
1608115520908,1608115520778,RGB_565
1608115520941,1608115520813,RGB_566
1608115520982,1608115520847,RGB_567
1608115521008,1608115520881,RGB_568
1608115521041,1608115520915,RGB_569
1608115521075,1608115520949,RGB_570
1608115521109,1608115520983,RGB_571
1608115521142,1608115521018,RGB_572
1608115521175,1608115521052,RGB_573
1608115521209,1608115521086,RGB_574
1608115521242,1608115521120,RGB_575
1608115521276,1608115521155,RGB_576
1608115521310,1608115521189,RGB_577
1608115521343,1608115521223,RGB_578
1608115521376,1608115521257,RGB_579
1608115521412,1608115521291,RGB_580
1608115521445,1608115521326,RGB_581
1608115521477,1608115521360,RGB_582
1608115521510,1608115521394,RGB_583
1608115521543,1608115521428,RGB_584
1608115521577,1608115521463,RGB_585
1608115521610,1608115521497,RGB_586
1608115521643,1608115521531,RGB_587
1608115521676,1608115521565,RGB_588
1608115521710,1608115521599,RGB_589
1608115521743,1608115521634,RGB_590
1608115521780,1608115521668,RGB_591
1608115521813,1608115521702,RGB_592
1608115521843,1608115521736,RGB_593
1608115521877,1608115521771,RGB_594
1608115521910,1608115521805,RGB_595
1608115521943,1608115521839,RGB_596
1608115521977,1608115521873,RGB_597
1608115522011,1608115521907,RGB_598
1608115522044,1608115521942,RGB_599
1608115522077,1608115521976,RGB_600
1608115522115,1608115522010,RGB_601
1608115522147,1608115522044,RGB_602
1608115522181,1608115522079,RGB_603
1608115522211,1608115522113,RGB_604
1608115522245,1608115522147,RGB_605
1608115522278,1608115522181,RGB_606
1608115522312,1608115522215,RGB_607
1608115522345,1608115522250,RGB_608
1608115522379,1608115522284,RGB_609
1608115522413,1608115522318,RGB_610
1608115522449,1608115522352,RGB_611
1608115522482,1608115522387,RGB_612
1608115522512,1608115522421,RGB_613
1608115522546,1608115522455,RGB_614
1608115522579,1608115522489,RGB_615
1608115522613,1608115522523,RGB_616
1608115522646,1608115522558,RGB_617
1608115522680,1608115522592,RGB_618
