cpu_ts,timestamp,acc_x,acc_y,acc_z,timestamp,gyro_x,gyro_y,gyro_z
1608115975630,1608115975611,0.323619,-9.267284,-1.775004,1608115975630,0.000000,0.005236,-0.001745
1608115975647,1608115975631,0.323619,-9.326124,-1.794617,1608115975646,0.000000,0.000000,0.001745
1608115975664,1608115975647,0.362846,-9.326124,-1.794617,1608115975663,-0.001745,0.000000,-0.001745
1608115975681,1608115975659,0.343233,-9.306511,-1.775004,1608115975680,0.000000,0.000000,0.003491
1608115975697,1608115975674,0.304006,-9.345737,-1.853457,1608115975696,-0.003491,0.003491,0.001745
1608115975714,1608115975686,0.304006,-9.208445,-1.676937,1608115975714,-0.001745,0.000000,-0.003491
1608115975731,1608115975714,0.323619,-9.247671,-1.696550,1608115975730,0.000000,0.001745,0.000000
1608115975748,1608115975722,0.343233,-9.247671,-1.657324,1608115975747,-0.003491,0.001745,0.000000
1608115975765,1608115975750,0.343233,-9.286898,-1.676937,1608115975763,0.000000,0.001745,0.000000
1608115975781,1608115975766,0.343233,-9.326124,-1.657324,1608115975780,-0.001745,0.000000,-0.003491
1608115975798,1608115975782,0.343233,-9.326124,-1.912297,1608115975798,-0.005236,0.001745,0.000000
1608115975815,1608115975798,0.264780,-9.326124,-1.676937,1608115975814,-0.001745,0.001745,0.000000
1608115975832,1608115975818,0.323619,-9.345737,-1.990750,1608115975830,-0.001745,0.000000,0.001745
1608115975849,1608115975834,0.362846,-9.306511,-1.853457,1608115975847,0.000000,0.000000,0.001745
1608115975865,1608115975850,0.323619,-9.228058,-1.755390,1608115975864,-0.001745,0.008727,0.000000
1608115975882,1608115975870,0.362846,-9.188830,-1.529837,1608115975881,0.000000,0.000000,0.001745
1608115975899,1608115975886,0.264780,-9.267284,-1.735777,1608115975897,0.000000,0.003491,0.000000
1608115975916,1608115975902,0.304006,-9.306511,-1.775004,1608115975914,-0.001745,0.001745,0.000000
1608115975949,1608115975937,0.284393,-9.247671,-1.716164,1608115975948,0.000000,0.003491,0.000000
1608115975966,1608115975953,0.323619,-9.247671,-1.794617,1608115975964,0.000000,0.000000,0.000000
1608115975983,1608115975969,0.323619,-9.345737,-1.755390,1608115975982,0.000000,0.000000,0.001745
1608115975999,1608115975985,0.304006,-9.365351,-1.853457,1608115975998,0.000000,-0.001745,0.000000
1608115976016,1608115976005,0.382459,-9.326124,-1.716164,1608115976015,-0.001745,0.003491,0.003491
1608115976033,1608115976016,0.304006,-9.267284,-1.716164,1608115976032,0.000000,0.003491,-0.001745
1608115976050,1608115976036,0.343233,-9.228058,-1.735777,1608115976048,0.000000,0.000000,0.000000
1608115976067,1608115976052,0.323619,-9.267284,-1.794617,1608115976065,-0.001745,0.000000,0.000000
1608115976083,1608115976072,0.323619,-9.326124,-1.637710,1608115976083,-0.001745,0.003491,0.001745
1608115976100,1608115976088,0.323619,-9.365351,-1.892683,1608115976098,0.001745,0.005236,0.000000
1608115976117,1608115976103,0.304006,-9.286898,-1.735777,1608115976115,-0.001745,0.001745,0.000000
1608115976134,1608115976119,0.304006,-9.306511,-1.676937,1608115976133,0.000000,0.001745,0.001745
1608115976150,1608115976139,0.362846,-9.286898,-1.657324,1608115976149,0.000000,0.000000,0.000000
1608115976167,1608115976155,0.323619,-9.286898,-1.794617,1608115976167,-0.001745,0.003491,0.000000
1608115976184,1608115976171,0.284393,-9.267284,-1.873070,1608115976183,-0.001745,0.003491,0.000000
1608115976201,1608115976186,0.304006,-9.326124,-1.755390,1608115976199,0.000000,0.005236,0.000000
1608115976218,1608115976206,0.245166,-9.228058,-1.637710,1608115976217,-0.003491,0.003491,0.000000
1608115976234,1608115976222,0.284393,-9.404577,-1.775004,1608115976233,0.000000,0.005236,0.000000
1608115976251,1608115976238,0.343233,-9.345737,-1.814230,1608115976250,-0.005236,0.001745,0.000000
1608115976273,1608115976262,0.343233,-9.306511,-1.716164,1608115976272,-0.003491,0.003491,0.003491
1608115976290,1608115976277,0.343233,-9.286898,-1.735777,1608115976288,-0.003491,0.005236,-0.001745
1608115976307,1608115976293,0.343233,-9.306511,-1.814230,1608115976306,0.000000,0.001745,0.001745
1608115976324,1608115976309,0.284393,-9.247671,-1.657324,1608115976322,-0.001745,0.000000,-0.003491
1608115976340,1608115976313,0.362846,-9.306511,-1.912297,1608115976326,0.001745,0.003491,0.000000
1608115976357,1608115976333,0.362846,-9.267284,-1.657324,1608115976357,0.000000,0.005236,0.001745
1608115976374,1608115976349,0.323619,-9.384964,-2.029977,1608115976373,0.000000,0.003491,-0.001745
1608115976391,1608115976368,0.343233,-9.267284,-1.735777,1608115976390,0.000000,0.001745,0.000000
1608115976408,1608115976396,0.304006,-9.326124,-1.814230,1608115976406,0.000000,0.003491,0.000000
1608115976424,1608115976412,0.362846,-9.384964,-1.716164,1608115976423,0.000000,0.006981,0.000000
1608115976441,1608115976428,0.304006,-9.345737,-1.873070,1608115976440,0.000000,0.001745,0.001745
1608115976458,1608115976448,0.304006,-9.306511,-1.912297,1608115976457,0.000000,0.003491,-0.001745
1608115976475,1608115976463,0.284393,-9.247671,-1.775004,1608115976473,-0.003491,0.003491,0.001745
1608115976491,1608115976479,0.343233,-9.306511,-1.676937,1608115976491,-0.003491,0.005236,0.000000
1608115976508,1608115976495,0.323619,-9.326124,-1.833843,1608115976507,-0.003491,0.005236,-0.005236
1608115976525,1608115976511,0.323619,-9.267284,-1.775004,1608115976523,0.000000,0.001745,0.000000
1608115976542,1608115976531,0.304006,-9.286898,-1.814230,1608115976541,-0.001745,0.001745,0.000000
1608115976559,1608115976546,0.304006,-9.306511,-1.873070,1608115976557,-0.001745,0.001745,0.000000
1608115976575,1608115976562,0.323619,-9.326124,-1.657324,1608115976574,-0.003491,0.001745,0.000000
1608115976592,1608115976582,0.323619,-9.345737,-1.794617,1608115976591,-0.003491,0.000000,-0.003491
1608115976609,1608115976598,0.343233,-9.267284,-1.833843,1608115976607,-0.003491,0.006981,0.000000
1608115976626,1608115976614,0.323619,-9.286898,-1.716164,1608115976624,0.000000,0.005236,0.000000
