acq_time,save_time,stat_time,cycle_time,sleep_time,slow_cycles_cnt
3.101074,7.977453,0.000126,11.078653,5.191302,6
3.095455,8.620036,0.000207,11.715698,5.588014,6
3.089039,8.842370,0.000108,11.931517,4.950969,6
3.118170,8.380851,0.000121,11.499142,4.735150,6
3.169509,8.645283,0.000108,11.814900,5.167525,6
3.091719,8.746879,0.000149,11.838747,4.851767,6
3.086064,7.921287,0.000109,11.007460,4.827920,6
3.086489,7.939418,0.000111,11.026018,5.659207,6
3.086566,8.258882,0.000110,11.345558,5.640649,6
3.087200,8.222233,0.000047,11.309480,5.321109,6
3.087724,8.392266,0.000344,11.480334,5.357187,6
3.087937,7.906997,0.000134,10.995068,5.186333,6
3.087228,8.170263,0.000106,11.257597,5.671599,6
3.084858,8.048649,0.000179,11.133686,5.409070,6
3.082794,9.422138,0.000134,12.505066,5.532981,6
3.116932,8.987710,0.000148,12.104790,4.161601,6
3.112488,9.048499,0.000104,12.161091,4.561877,6
3.110484,7.869694,0.000305,10.980483,4.505576,6
3.125453,8.123841,0.000161,11.249455,5.686184,6
3.125406,9.003717,0.000222,12.129345,5.417212,6
3.112531,8.642518,0.000243,11.755292,4.537322,6
3.092702,8.904846,0.000305,11.997853,4.911375,6
3.112811,8.224311,0.000132,11.337254,4.668814,6
3.115530,9.957647,0.000172,13.073349,5.329413,6
3.080648,9.512621,0.000130,12.593399,3.593318,6
3.081143,9.197247,0.000150,12.278540,4.073268,6
3.083304,3.166494,0.000071,6.249869,4.388127,6
3.087655,8.477601,0.000088,11.565344,10.416798,6
3.222805,27.156767,0.000152,30.379724,5.101323,6
3.125262,9.359107,0.000113,12.484482,-13.713057,7
3.121569,7.834847,0.000366,10.956782,4.182185,7
3.116597,7.901697,0.000116,11.018410,5.709885,7
3.091415,8.800471,0.000104,11.891990,5.648257,7
3.090696,8.482198,0.000112,11.573006,4.774677,7
3.114584,7.915574,0.000113,11.030271,5.093661,7
3.128849,7.841307,0.000112,10.970268,5.636396,7
3.102468,7.915439,0.000688,11.018595,5.696399,7
3.095657,8.337872,0.000124,11.433653,5.648072,7
3.137613,7.740801,0.000128,10.878542,5.233014,7
3.122857,8.412494,0.000126,11.535477,5.788125,7
3.124012,7.820696,0.000185,10.944893,5.131190,7
3.134480,7.837358,0.000113,10.971951,5.721774,7
3.125922,9.017107,0.000110,12.143139,5.694716,7
3.134677,8.102380,0.000106,11.237163,4.523528,7
3.126950,8.405060,0.000125,11.532135,5.429504,7
3.128467,8.086102,0.000108,11.214677,5.134532,7
3.148852,7.981545,0.000120,11.130517,5.451990,7
3.147472,8.029901,0.000211,11.177584,5.536150,7
3.173096,7.806758,0.000104,10.979958,5.489083,7
3.157921,8.453854,0.000168,11.611943,5.686709,7
3.112972,8.707631,0.000107,11.820710,5.054724,7
3.153727,8.035999,0.000056,11.189782,4.845957,7
3.183655,9.041303,0.000146,12.225104,5.476885,7
3.085668,8.601327,0.000097,11.687092,4.441563,7
3.083536,8.245384,0.000051,11.328971,4.979575,7
3.095813,8.997025,9.574634,21.667472,5.337696,7
3.098684,7.981249,0.000117,11.080050,-5.000805,8
3.118494,8.201007,0.000106,11.319607,5.586617,8
3.126629,7.893401,0.000121,11.020151,5.347060,8
3.136685,7.917052,0.000050,11.053787,5.646516,8
3.084284,7.819051,0.000099,10.903434,5.612880,8
3.124789,7.907694,0.000050,11.032533,5.763233,8
3.142563,7.855770,0.000135,10.998468,5.634134,8
3.132770,7.892517,0.000120,11.025407,5.668199,8
3.104905,8.184098,0.000112,11.289115,5.641260,8
3.090779,8.194005,0.000174,11.284958,5.377552,8
3.131326,10.006026,0.000126,13.137478,5.381709,8
3.108064,10.102076,0.000104,13.210244,3.529189,8
3.118864,9.877859,0.000088,12.996811,3.456423,8
3.088960,7.843505,0.000106,10.932571,3.669856,8
3.091079,7.921390,0.000114,11.012583,5.734096,8
3.085942,7.749596,0.000114,10.835652,5.654084,8
3.105111,7.953699,0.000131,11.058941,5.831015,8
3.117162,7.844343,0.000199,10.961704,5.607726,8
3.124325,7.851393,0.000110,10.975828,5.704963,8
3.122329,7.815495,0.000094,10.937918,5.690839,8
3.148187,7.762365,0.000094,10.910646,5.728749,8
3.138442,8.539845,0.000107,11.678394,5.756021,8
3.127230,7.993058,0.000102,11.120390,4.988273,8
3.121300,8.012794,0.000128,11.134222,5.546277,8
3.095985,8.018778,0.000114,11.114877,5.532445,8
3.089996,7.910857,0.000116,11.000969,5.551790,8
3.087647,8.232401,0.000092,11.320140,5.665698,8
3.107180,7.911671,0.000112,11.018963,5.346527,8
3.126174,7.954871,0.000053,11.081098,5.647704,8
3.098008,7.994153,0.000061,11.092222,5.585569,8
3.094382,7.976197,0.000096,11.070675,5.574445,8
3.095105,7.920446,0.000098,11.015649,5.595992,8
3.095215,9.479385,0.000153,12.574753,5.651018,8
3.087515,8.252017,0.000099,11.339631,4.091914,8
3.109961,7.882763,0.000090,10.992814,5.327036,8
3.166872,8.025276,0.000105,11.192253,5.673853,8
3.106594,8.012884,0.000133,11.119611,5.474414,8
3.105708,7.985731,0.000093,11.091532,5.547056,8
3.111275,7.981063,0.000098,11.092436,5.575135,8
3.116200,9.479590,0.000108,12.595898,5.574231,8
3.114557,8.258849,0.000132,11.373538,4.070769,8
3.090364,7.842053,0.000088,10.932505,5.293129,8
3.091540,8.085542,0.000095,11.177177,5.734162,8
3.099181,7.918860,0.000114,11.018155,5.489490,8
3.135392,7.947233,0.000088,11.082713,5.648512,8
3.108683,7.926925,0.000096,11.035704,5.583954,8
3.108587,7.982127,0.000091,11.090805,5.630963,8
3.098082,7.999721,0.000101,11.097904,5.575862,8
3.129811,7.959541,0.000128,11.089480,5.568763,8
3.124474,7.972961,0.000128,11.097563,5.577187,8
3.169981,8.031337,0.000130,11.201448,5.569104,8
3.178231,8.022778,0.000136,11.201145,5.465219,8
3.094411,8.014923,0.000124,11.109458,5.465522,8
3.120285,9.425152,0.000126,12.545563,5.557209,8
3.100064,8.946338,0.000106,12.046508,4.121104,8
3.095370,7.966709,0.000119,11.062198,4.620159,8
3.097313,7.996275,0.000131,11.093719,5.604469,8
3.096653,8.260480,0.000132,11.357265,5.572948,8
3.097252,7.937894,0.000138,11.035284,5.309402,8
3.124514,7.957171,9.658775,20.740460,5.631383,8
3.121502,8.958405,0.000107,12.080014,-4.073793,9
3.130362,8.245331,0.000046,11.375739,4.586653,9
3.107603,8.067029,0.000168,11.174800,5.290928,9
3.111841,8.226196,0.000135,11.338172,5.491867,9
3.088312,7.950042,0.000276,11.038630,5.328495,9
3.126748,8.058895,0.000150,11.185793,5.628037,9
3.118764,8.015700,0.000212,11.134676,5.480874,9
3.120735,8.213114,0.000118,11.333967,5.531991,9
3.128029,8.447328,0.000131,11.575488,5.332700,9
3.102853,11.253566,0.000146,14.356565,5.091179,9
3.094726,8.373525,0.000247,11.468498,2.310102,9
3.090711,7.989401,0.000047,11.080159,5.198169,9
3.087274,7.926914,0.000106,11.014294,5.586508,9
3.090347,9.004264,0.000126,12.094737,5.652373,9
3.093357,8.086707,0.000100,11.180164,4.571930,9
3.089824,7.836732,0.000115,10.926671,5.486503,9
3.146459,7.929004,0.000112,11.075575,5.739996,9
3.098829,7.953435,0.000128,11.052392,5.591092,9
3.090873,7.927595,0.000112,11.018580,5.614275,9
3.087416,7.823756,0.000114,10.911286,5.648087,9
3.091874,7.901832,0.000126,10.993832,5.755381,9
3.091586,7.919224,0.000141,11.010951,5.672835,9
3.093075,9.022715,0.000107,12.115897,5.655716,9
3.090401,4.056708,0.000071,7.147180,4.550770,9
3.137584,8.780969,0.000098,11.918651,9.519487,9
3.095275,8.651665,0.000114,11.747054,4.748016,9
3.104405,10.016646,0.000162,13.121213,4.919613,9
3.097056,8.200087,0.000111,11.297254,3.545454,9
3.099450,8.312779,0.000049,11.412278,5.369413,9
3.088729,8.361720,0.000094,11.450543,5.254389,9
3.094997,8.318918,0.000125,11.414040,5.216124,9
3.096557,8.426940,0.000154,11.523651,5.252627,9
3.094790,9.208979,0.000112,12.303881,5.143016,9
3.180467,13.667334,0.000136,16.847937,4.362786,9
3.117945,8.468022,0.000043,11.586010,-0.181270,10
3.142463,8.618142,0.000110,11.760715,5.080657,10
3.094873,9.591520,0.000145,12.686538,4.905952,10
3.118015,8.899061,0.000269,12.017345,3.980129,10
3.161781,8.273516,0.000105,11.435402,4.649322,10
3.097466,9.247091,0.000101,12.344658,5.231265,10
3.153949,8.262001,0.000053,11.416003,4.322009,10
3.122801,8.273813,0.000129,11.396743,5.250664,10
3.137553,8.262883,0.000105,11.400541,5.269924,10
3.143705,8.342410,0.000137,11.486252,5.266126,10
